strategy,group,name,window,phase,timerange,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,cagr,sortino
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",W1,train,20200101-20230101,554,237.67,1.01,1.32,12.50,50.25,4.81
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",W1,test,20230101-20240101,201,90.48,1.57,1.51,15.00,90.48,9.51
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",W2,train,20210101-20240101,564,304.92,1.17,1.41,15.07,59.39,5.53
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",W2,test,20240101-20250101,163,47.47,1.55,1.61,9.52,47.31,7.82
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",W3,train,20220101-20250101,476,204.55,1.19,1.48,15.03,44.90,5.97
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",W3,test,20250101-20260401,177,60.88,1.35,1.60,10.86,46.44,5.65
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",W1,train,20200101-20230101,565,249.90,1.03,1.33,12.50,52.05,4.81
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",W1,test,20230101-20240101,206,97.79,1.65,1.53,14.06,97.79,10.00
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",W2,train,20210101-20240101,577,341.11,1.23,1.43,14.03,64.00,5.81
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",W2,test,20240101-20250101,163,41.76,1.40,1.53,9.52,41.62,7.07
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",W3,train,20220101-20250101,482,203.85,1.17,1.47,14.06,44.79,5.80
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",W3,test,20250101-20260401,180,58.06,1.30,1.56,11.81,44.38,5.40
V7_G1_P003,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=True",W1,train,20200101-20230101,537,230.32,0.96,1.32,15.21,49.15,4.64
V7_G1_P003,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=True",W1,test,20230101-20240101,0,0,0,0,0,0,0
