strategy,group,name,year,timerange,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino
V6_E2_P001,group_e2_adx,"E2 ADX=22",2020,20200101-20210101,256,55.82,1.22,1.25,23.78,29.7,56.59,6.70
V6_E2_P001,group_e2_adx,"E2 ADX=22",2021,20210101-20220101,350,111.77,2.19,1.36,16.63,29.1,111.77,13.75
V6_E2_P001,group_e2_adx,"E2 ADX=22",2022,20220101-20230101,158,10.37,0.31,1.11,11.99,27.2,10.37,1.74
V6_E2_P001,group_e2_adx,"E2 ADX=22",2023,20230101-20240101,291,102.73,1.89,1.42,28.21,28.5,102.73,10.55
V6_E2_P001,group_e2_adx,"E2 ADX=22",2024,20240101-20250101,244,44.46,1.39,1.33,15.36,31.1,44.32,6.45
V6_E2_P001,group_e2_adx,"E2 ADX=22",2025Q1,20250101-20260401,250,39.25,1.03,1.29,11.90,31.6,30.42,4.38
V6_E2_P003,group_e2_adx,"E2 ADX=26",2020,20200101-20210101,212,69.50,1.49,1.39,18.43,32.1,70.49,8.38
V6_E2_P003,group_e2_adx,"E2 ADX=26",2021,20210101-20220101,284,90.43,1.78,1.36,13.03,28.9,90.43,12.01
V6_E2_P003,group_e2_adx,"E2 ADX=26",2022,20220101-20230101,127,13.23,0.38,1.16,12.14,27.6,13.23,2.18
V6_E2_P003,group_e2_adx,"E2 ADX=26",2023,20230101-20240101,226,71.98,1.34,1.37,17.77,27.4,71.98,7.83
V6_E2_P003,group_e2_adx,"E2 ADX=26",2024,20240101-20250101,190,52.17,1.62,1.53,14.37,34.2,52.00,7.81
V6_E2_P003,group_e2_adx,"E2 ADX=26",2025Q1,20250101-20260401,202,63.25,1.44,1.55,9.64,37.1,48.16,6.24
V6_E2_P004,group_e2_adx,"E2 ADX=28",2020,20200101-20210101,191,58.88,1.33,1.38,13.44,31.4,59.69,7.54
V6_E2_P004,group_e2_adx,"E2 ADX=28",2021,20210101-20220101,252,94.37,1.77,1.42,10.21,30.2,94.37,12.37
V6_E2_P004,group_e2_adx,"E2 ADX=28",2022,20220101-20230101,113,6.94,0.21,1.10,12.46,27.4,6.94,1.18
V6_E2_P004,group_e2_adx,"E2 ADX=28",2023,20230101-20240101,201,90.92,1.58,1.52,15.01,29.9,90.92,9.54
V6_E2_P004,group_e2_adx,"E2 ADX=28",2024,20240101-20250101,163,47.92,1.56,1.61,9.41,35.0,47.76,7.81
V6_E2_P004,group_e2_adx,"E2 ADX=28",2025Q1,20250101-20260401,178,58.48,1.31,1.57,11.16,37.1,44.68,5.52
