strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino,params
V4_G1_P008,group1_dc_exit,"G1 DCexit p=7 dc_only mb=8",1169,0.0377,440.166,44.02,0.21,1.07,6,33.8,6.02,0.77,"{""dc_exit_period"":7,""mode"":""dc_only"",""dc_exit_min_bars"":8,""trailing"":false,""stair"":false}"
V4_G1_P001,group1_dc_exit,"G1 DCexit p=5 dc_only mb=0",1227,-0.0055,-66.87,-6.69,-0.05,0.99,33.71,32.8,-1.10,-0.16,"{""dc_exit_period"":5,""mode"":""dc_only"",""dc_exit_min_bars"":0,""trailing"":false,""stair"":false}"
V4_G1_P009,group1_dc_exit,"G1 DCexit p=7 dc_trail mb=0",1235,0.143,1766.22,176.62,0.55,1.18,6,33.9,17.72,1.93,"{""dc_exit_period"":7,""mode"":""dc_trail"",""dc_exit_min_bars"":0,""trailing"":true,""stair"":false}"
V4_G1_P002,group1_dc_exit,"G1 DCexit p=5 dc_only mb=8",1202,0.0066,79.809,7.98,0.05,1.02,29.02,34.9,1.24,0.17,"{""dc_exit_period"":5,""mode"":""dc_only"",""dc_exit_min_bars"":8,""trailing"":false,""stair"":false}"
V4_G1_P010,group1_dc_exit,"G1 DCexit p=7 dc_trail mb=8",1229,0.1437,1766.469,176.65,0.54,1.17,4,34.4,17.72,1.84,"{""dc_exit_period"":7,""mode"":""dc_trail"",""dc_exit_min_bars"":8,""trailing"":true,""stair"":false}"
V4_G1_P003,group1_dc_exit,"G1 DCexit p=5 dc_trail mb=0",1277,0.0772,985.898,98.59,0.40,1.12,18.51,33.6,11.63,1.42,"{""dc_exit_period"":5,""mode"":""dc_trail"",""dc_exit_min_bars"":0,""trailing"":true,""stair"":false}"
V4_G1_P011,group1_dc_exit,"G1 DCexit p=7 dc_trail_stair mb=0",1236,0.1322,1634.294,163.43,0.53,1.17,3,33.6,16.80,1.92,"{""dc_exit_period"":7,""mode"":""dc_trail_stair"",""dc_exit_min_bars"":0,""trailing"":true,""stair"":true}"
V4_G1_P004,group1_dc_exit,"G1 DCexit p=5 dc_trail mb=8",1253,0.1005,1259.249,125.92,0.48,1.15,15.01,35.6,13.96,1.63,"{""dc_exit_period"":5,""mode"":""dc_trail"",""dc_exit_min_bars"":8,""trailing"":true,""stair"":false}"
V4_G1_P012,group1_dc_exit,"G1 DCexit p=7 dc_trail_stair mb=8",1230,0.1376,1692.323,169.23,0.53,1.17,2,34.1,17.21,1.87,"{""dc_exit_period"":7,""mode"":""dc_trail_stair"",""dc_exit_min_bars"":8,""trailing"":true,""stair"":true}"
V4_G1_P005,group1_dc_exit,"G1 DCexit p=5 dc_trail_stair mb=0",1277,0.0798,1019.331,101.93,0.41,1.13,19.23,33.5,11.92,1.48,"{""dc_exit_period"":5,""mode"":""dc_trail_stair"",""dc_exit_min_bars"":0,""trailing"":true,""stair"":true}"
V4_G1_P013,group1_dc_exit,"G1 DCexit p=10 dc_only mb=0",1132,0.0478,541.579,54.16,0.24,1.08,9,33.8,7.18,0.90,"{""dc_exit_period"":10,""mode"":""dc_only"",""dc_exit_min_bars"":0,""trailing"":false,""stair"":false}"
V4_G1_P006,group1_dc_exit,"G1 DCexit p=5 dc_trail_stair mb=8",1253,0.1062,1330.411,133.04,0.50,1.16,13.16,35.5,14.52,1.72,"{""dc_exit_period"":5,""mode"":""dc_trail_stair"",""dc_exit_min_bars"":8,""trailing"":true,""stair"":true}"
