strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino,params
V6_E10_P011,group_e10_stair_tp,"E10 TP1=0.08/0.03 TP2=0.2/0.12 TP3=0.3",1217,-0.076,-925.163,-92.52,-1.66,0.54,93.38,34.3,-34.00,-2.65,"{""tp1"":[0.08,0.03],""tp2"":[0.2,0.12],""tp3"":0.3}"
V6_E10_P012,group_e10_stair_tp,"E10 TP1=0.08/0.03 TP2=0.2/0.12 TP3=0.4",1218,-0.0757,-922.232,-92.22,-1.65,0.54,93.19,34.3,-33.60,-2.65,"{""tp1"":[0.08,0.03],""tp2"":[0.2,0.12],""tp3"":0.4}"
V6_E10_P013,group_e10_stair_tp,"E10 TP1=0.1/0.04 TP2=0.15/0.08 TP3=0.3",1197,-0.0745,-891.988,-89.20,-1.39,0.61,90.91,35.6,-30.00,-2.45,"{""tp1"":[0.1,0.04],""tp2"":[0.15,0.08],""tp3"":0.3}"
V6_E10_P014,group_e10_stair_tp,"E10 TP1=0.1/0.04 TP2=0.15/0.08 TP3=0.4",1199,-0.0736,-882.257,-88.23,-1.33,0.63,90.22,35.6,-29.03,-2.40,"{""tp1"":[0.1,0.04],""tp2"":[0.15,0.08],""tp3"":0.4}"
V6_E10_P015,group_e10_stair_tp,"E10 TP1=0.1/0.04 TP2=0.2/0.1 TP3=0.3",1182,-0.0736,-869.985,-87.00,-1.33,0.63,89.74,34.9,-27.89,-2.39,"{""tp1"":[0.1,0.04],""tp2"":[0.2,0.1],""tp3"":0.3}"
V6_E10_P016,group_e10_stair_tp,"E10 TP1=0.1/0.04 TP2=0.2/0.1 TP3=0.4",1187,-0.0724,-858.92,-85.89,-1.28,0.64,89.03,35.0,-26.94,-2.34,"{""tp1"":[0.1,0.04],""tp2"":[0.2,0.1],""tp3"":0.4}"
V6_E10_P017,group_e10_stair_tp,"E10 TP1=0.1/0.04 TP2=0.2/0.12 TP3=0.3",1182,-0.0751,-887.973,-88.80,-1.44,0.61,90.44,35.0,-29.59,-2.48,"{""tp1"":[0.1,0.04],""tp2"":[0.2,0.12],""tp3"":0.3}"
V6_E10_P018,group_e10_stair_tp,"E10 TP1=0.1/0.04 TP2=0.2/0.12 TP3=0.4",1185,-0.0744,-882.014,-88.20,-1.43,0.61,90.09,35.0,-29.01,-2.47,"{""tp1"":[0.1,0.04],""tp2"":[0.2,0.12],""tp3"":0.4}"
V6_E11_P001,group_e11_ema_exit,"E11 EMA exit bars=8 profit=-0.03",1104,0.9568,10563.612,1056.36,1.10,1.43,15.08,32.9,48.05,3.42,"{""type"":""ema_cross"",""min_bars"":8,""min_profit"":-0.03}"
V6_E11_P002,group_e11_ema_exit,"E11 EMA exit bars=8 profit=-0.01",1103,0.9868,10884.27,1088.43,1.11,1.44,15.22,33.2,48.70,3.42,"{""type"":""ema_cross"",""min_bars"":8,""min_profit"":-0.01}"
V6_E11_P003,group_e11_ema_exit,"E11 EMA exit bars=8 profit=0.01",1101,1.0243,11277.086,1127.71,1.13,1.45,15.11,33.8,49.48,3.52,"{""type"":""ema_cross"",""min_bars"":8,""min_profit"":0.01}"
V6_E11_P004,group_e11_ema_exit,"E11 EMA exit bars=8 profit=0.03",1101,1.0364,11410.984,1141.10,1.14,1.45,14.75,33.2,49.74,3.53,"{""type"":""ema_cross"",""min_bars"":8,""min_profit"":0.03}"
V6_E11_P005,group_e11_ema_exit,"E11 EMA exit bars=16 profit=-0.03",1104,0.9568,10563.612,1056.36,1.10,1.43,15.08,32.9,48.05,3.42,"{""type"":""ema_cross"",""min_bars"":16,""min_profit"":-0.03}"
V6_E11_P006,group_e11_ema_exit,"E11 EMA exit bars=16 profit=-0.01",1103,0.9868,10884.27,1088.43,1.11,1.44,15.22,33.2,48.70,3.42,"{""type"":""ema_cross"",""min_bars"":16,""min_profit"":-0.01}"
V6_E11_P007,group_e11_ema_exit,"E11 EMA exit bars=16 profit=0.01",1101,1.0243,11277.086,1127.71,1.13,1.45,15.11,33.8,49.48,3.52,"{""type"":""ema_cross"",""min_bars"":16,""min_profit"":0.01}"
V6_E11_P008,group_e11_ema_exit,"E11 EMA exit bars=16 profit=0.03",1101,1.0364,11410.984,1141.10,1.14,1.45,14.75,33.2,49.74,3.53,"{""type"":""ema_cross"",""min_bars"":16,""min_profit"":0.03}"
V6_E11_P009,group_e11_ema_exit,"E11 EMA exit bars=24 profit=-0.03",1104,0.9568,10563.612,1056.36,1.10,1.43,15.08,32.9,48.05,3.42,"{""type"":""ema_cross"",""min_bars"":24,""min_profit"":-0.03}"
V6_E11_P010,group_e11_ema_exit,"E11 EMA exit bars=24 profit=-0.01",1103,0.9868,10884.27,1088.43,1.11,1.44,15.22,33.2,48.70,3.42,"{""type"":""ema_cross"",""min_bars"":24,""min_profit"":-0.01}"
V6_E11_P011,group_e11_ema_exit,"E11 EMA exit bars=24 profit=0.01",1101,1.0243,11277.086,1127.71,1.13,1.45,15.11,33.8,49.48,3.52,"{""type"":""ema_cross"",""min_bars"":24,""min_profit"":0.01}"
V6_E11_P012,group_e11_ema_exit,"E11 EMA exit bars=24 profit=0.03",1101,1.0364,11410.984,1141.10,1.14,1.45,14.75,33.2,49.74,3.53,"{""type"":""ema_cross"",""min_bars"":24,""min_profit"":0.03}"
V6_F1_P001,group_f1_baseline,"F1 CryptoV11 baseline",1098,1.2731,13978.329,1397.83,1.21,1.50,11.24,31.9,54.32,3.75,"{""variant"":""v11_baseline""}"
