strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,avg_duration,cagr,sortino,params
Exp_Best_A28_R07_S012_T035,best_combo,"ADX=28 ATR=0.7 SL=-0.12 Trail=0.35",970,0.41,4008.533,400.85,0.66,1.24,18.74,34.1,0,29.47,2.14,"{""adx_min"":28,""atr_mult"":0.7,""stoploss"":-0.12,""trail_offset"":0.35}"
Exp_Best_A30_R03_S008_T025,best_combo,"ADX=30 ATR=0.3 SL=-0.08 Trail=0.25",1265,0.04,490.98,49.10,0.24,1.06,40.56,29.4,0,6.61,1.45,"{""adx_min"":30,""atr_mult"":0.3,""stoploss"":-0.08,""trail_offset"":0.25}"
Exp_Best_A30_R03_S008_T03,best_combo,"ADX=30 ATR=0.3 SL=-0.08 Trail=0.3",1242,0.09,1078.551,107.86,0.40,1.11,33.17,28.3,0,12.44,2.44,"{""adx_min"":30,""atr_mult"":0.3,""stoploss"":-0.08,""trail_offset"":0.3}"
Exp_Best_A30_R03_S008_T035,best_combo,"ADX=30 ATR=0.3 SL=-0.08 Trail=0.35",1209,0.13,1609.321,160.93,0.49,1.14,32.19,27.3,0,16.62,2.95,"{""adx_min"":30,""atr_mult"":0.3,""stoploss"":-0.08,""trail_offset"":0.35}"
Exp_Best_A30_R03_S01_T025,best_combo,"ADX=30 ATR=0.3 SL=-0.1 Trail=0.25",1259,0.12,1499.338,149.93,0.49,1.12,32.50,33.1,0,15.82,2.01,"{""adx_min"":30,""atr_mult"":0.3,""stoploss"":-0.1,""trail_offset"":0.25}"
Exp_Best_A30_R03_S01_T03,best_combo,"ADX=30 ATR=0.3 SL=-0.1 Trail=0.3",1235,0.21,2586.055,258.61,0.61,1.16,29.88,31.8,0,22.72,2.52,"{""adx_min"":30,""atr_mult"":0.3,""stoploss"":-0.1,""trail_offset"":0.3}"
Exp_Best_A30_R03_S01_T035,best_combo,"ADX=30 ATR=0.3 SL=-0.1 Trail=0.35",1200,0.31,3695.06,369.51,0.69,1.20,21.51,30.8,0,28.13,2.79,"{""adx_min"":30,""atr_mult"":0.3,""stoploss"":-0.1,""trail_offset"":0.35}"
Exp_Best_A30_R03_S012_T025,best_combo,"ADX=30 ATR=0.3 SL=-0.12 Trail=0.25",1251,0.07,909.179,90.92,0.33,1.08,35.52,35.0,0,10.92,1.16,"{""adx_min"":30,""atr_mult"":0.3,""stoploss"":-0.12,""trail_offset"":0.25}"
Exp_Best_A30_R03_S012_T03,best_combo,"ADX=30 ATR=0.3 SL=-0.12 Trail=0.3",1225,0.17,2057.257,205.73,0.51,1.13,33.16,33.8,0,19.62,1.79,"{""adx_min"":30,""atr_mult"":0.3,""stoploss"":-0.12,""trail_offset"":0.3}"
Exp_Best_A30_R03_S012_T035,best_combo,"ADX=30 ATR=0.3 SL=-0.12 Trail=0.35",1189,0.31,3654.53,365.45,0.65,1.18,23.20,33.1,0,27.96,2.16,"{""adx_min"":30,""atr_mult"":0.3,""stoploss"":-0.12,""trail_offset"":0.35}"
