strategy,group,name,year,timerange,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",2020,20200101-20210101,191,58.1,1.31,1.38,13.68,0,58.91,7.46
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",2021,20210101-20220101,251,97.05,1.8,1.43,10.24,0,97.05,12.6
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",2022,20220101-20230101,112,7.99,0.24,1.12,12.47,0,7.99,1.35
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",2023,20230101-20240101,201,90.48,1.57,1.51,15.0,0,90.48,9.51
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",2024,20240101-20250101,163,47.47,1.55,1.61,9.52,0,47.31,7.82
V7_G1_P001,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=True",2025Q1,20250101-20260401,177,60.88,1.35,1.6,10.86,0,46.44,5.65
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",2020,20200101-20210101,194,56.19,1.28,1.36,14.57,0,56.96,7.18
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",2021,20210101-20220101,258,107.04,1.88,1.43,11.15,0,107.04,12.94
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",2022,20220101-20230101,113,7.66,0.24,1.11,12.51,0,7.66,1.31
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",2023,20230101-20240101,206,97.79,1.65,1.53,14.06,0,97.79,10.0
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",2024,20240101-20250101,163,41.76,1.4,1.53,9.52,0,41.62,7.07
V7_G1_P002,group_g1_volume,"G1 vol vp=20 vm=1.0 macd=False",2025Q1,20250101-20260401,180,58.06,1.3,1.56,11.81,0,44.38,5.4
V7_G1_P003,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=True",2020,20200101-20210101,186,64.81,1.41,1.42,12.96,0,65.72,8.08
V7_G1_P003,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=True",2021,20210101-20220101,239,95.77,1.78,1.45,13.7,0,95.77,12.57
V7_G1_P003,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=True",2022,20220101-20230101,112,2.64,0.08,1.04,15.18,0,2.64,0.46
V7_G1_P003,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=True",2023,20230101-20240101,197,87.16,1.53,1.51,16.94,0,87.16,9.42
V7_G1_P003,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=True",2024,20240101-20250101,197,87.16,1.53,1.51,16.94,0,87.16,9.42
V7_G1_P003,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=True",2025Q1,20250101-20260401,197,87.16,1.53,1.51,16.94,0,87.16,9.42
V7_G1_P004,group_g1_volume,"G1 vol vp=20 vm=1.5 macd=False",2020,20200101-20210101,189,62.35,1.38,1.4,14.0,0,63.23,7.72
