strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino,params
V5_GA1_P001,group_a1_trailing,"GA1 trail 0.01/0.2",1198,1.0519,12602.063,1260.21,1.28,1.43,12.02,35.2,51.96,3.65,"{""trailing_stop_positive"":0.01,""trailing_stop_positive_offset"":0.2}"
V5_GA1_P002,group_a1_trailing,"GA1 trail 0.01/0.25",1140,1.8301,20862.866,2086.29,1.31,1.54,12.33,33.5,63.97,3.70,"{""trailing_stop_positive"":0.01,""trailing_stop_positive_offset"":0.25}"
V5_GA1_P003,group_a1_trailing,"GA1 trail 0.01/0.3",1098,2.0195,22173.984,2217.40,1.28,1.58,10.87,31.9,65.50,3.84,"{""trailing_stop_positive"":0.01,""trailing_stop_positive_offset"":0.3}"
V5_GA1_P004,group_a1_trailing,"GA1 trail 0.01/0.35",1069,1.7115,18295.653,1829.57,1.20,1.55,12.33,30.8,60.72,3.85,"{""trailing_stop_positive"":0.01,""trailing_stop_positive_offset"":0.35}"
V5_GA1_P005,group_a1_trailing,"GA1 trail 0.01/0.4",1047,1.4368,15043.358,1504.34,1.09,1.49,12.93,29.6,56.03,3.75,"{""trailing_stop_positive"":0.01,""trailing_stop_positive_offset"":0.4}"
V5_GA1_P006,group_a1_trailing,"GA1 trail 0.02/0.2",1198,0.7166,8584.786,858.48,1.18,1.37,12.48,35.2,43.66,3.55,"{""trailing_stop_positive"":0.02,""trailing_stop_positive_offset"":0.2}"
V5_GA1_P007,group_a1_trailing,"GA1 trail 0.02/0.25",1140,1.3679,15594.387,1559.44,1.26,1.49,12.60,33.5,56.88,3.64,"{""trailing_stop_positive"":0.02,""trailing_stop_positive_offset"":0.25}"
V5_GA1_P008,group_a1_trailing,"GA1 trail 0.02/0.3",1098,1.6221,17810.274,1781.03,1.24,1.54,11.06,31.9,60.06,3.80,"{""trailing_stop_positive"":0.02,""trailing_stop_positive_offset"":0.3}"
V5_GA1_P009,group_a1_trailing,"GA1 trail 0.02/0.35",1069,1.4179,15156.956,1515.70,1.18,1.52,12.43,30.8,56.21,3.82,"{""trailing_stop_positive"":0.02,""trailing_stop_positive_offset"":0.35}"
V5_GA1_P010,group_a1_trailing,"GA1 trail 0.02/0.4",1047,1.2317,12895.468,1289.55,1.07,1.47,12.95,29.6,52.48,3.73,"{""trailing_stop_positive"":0.02,""trailing_stop_positive_offset"":0.4}"
V5_GA1_P011,group_a1_trailing,"GA1 trail 0.03/0.2",1198,0.4798,5747.532,574.75,1.05,1.31,13.03,35.2,35.80,3.41,"{""trailing_stop_positive"":0.03,""trailing_stop_positive_offset"":0.2}"
V5_GA1_P012,group_a1_trailing,"GA1 trail 0.03/0.25",1140,1.0038,11443.408,1144.34,1.20,1.44,12.85,33.5,49.80,3.57,"{""trailing_stop_positive"":0.03,""trailing_stop_positive_offset"":0.25}"
V5_GA1_P013,group_a1_trailing,"GA1 trail 0.03/0.3",1098,1.2731,13978.329,1397.83,1.21,1.50,11.24,31.9,54.32,3.75,"{""trailing_stop_positive"":0.03,""trailing_stop_positive_offset"":0.3}"
V5_GA1_P014,group_a1_trailing,"GA1 trail 0.03/0.35",1069,1.172,12528.855,1252.89,1.15,1.49,12.50,30.8,51.82,3.79,"{""trailing_stop_positive"":0.03,""trailing_stop_positive_offset"":0.35}"
V5_GA1_P015,group_a1_trailing,"GA1 trail 0.03/0.4",1047,1.0529,11024.197,1102.42,1.04,1.44,12.95,29.6,48.98,3.70,"{""trailing_stop_positive"":0.03,""trailing_stop_positive_offset"":0.4}"
V5_GA1_P016,group_a1_trailing,"GA1 trail 0.04/0.2",1195,0.3457,4131.477,413.15,0.95,1.27,13.22,35.3,29.97,3.29,"{""trailing_stop_positive"":0.04,""trailing_stop_positive_offset"":0.2}"
V5_GA1_P017,group_a1_trailing,"GA1 trail 0.04/0.25",1140,0.7421,8459.677,845.97,1.13,1.40,12.90,33.5,43.36,3.51,"{""trailing_stop_positive"":0.04,""trailing_stop_positive_offset"":0.25}"
V5_GA1_P018,group_a1_trailing,"GA1 trail 0.04/0.3",1098,0.9986,10964.235,1096.42,1.16,1.46,11.44,31.9,48.86,3.70,"{""trailing_stop_positive"":0.04,""trailing_stop_positive_offset"":0.3}"
V5_GA1_P019,group_a1_trailing,"GA1 trail 0.04/0.35",1069,0.9701,10370.635,1037.06,1.11,1.46,12.59,30.8,47.65,3.75,"{""trailing_stop_positive"":0.04,""trailing_stop_positive_offset"":0.35}"
V5_GA1_P020,group_a1_trailing,"GA1 trail 0.04/0.4",1047,0.9071,9497.146,949.71,1.02,1.42,12.92,29.6,45.77,3.68,"{""trailing_stop_positive"":0.04,""trailing_stop_positive_offset"":0.4}"
V5_GA1_P021,group_a1_trailing,"GA1 trail 0.05/0.2",1190,0.2644,3146.251,314.63,0.86,1.24,13.66,35.5,25.61,3.10,"{""trailing_stop_positive"":0.05,""trailing_stop_positive_offset"":0.2}"
