strategy,group,name,window,phase,timerange,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,cagr,sortino
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W1,train,20200101-20230101,567,231.81,0.98,1.30,5,49.37,4.63
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W1,train,20200101-20230101,567,231.81,0.98,1.30,12.85,49.37,4.63
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W1,test,20230101-20240101,204,91.94,1.60,1.52,8,91.94,9.57
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W1,test,20230101-20240101,204,91.94,1.60,1.52,15.98,91.94,9.57
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W2,train,20210101-20240101,576,292.71,1.16,1.40,2,57.77,5.65
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W2,train,20210101-20240101,576,292.71,1.16,1.40,15.92,57.77,5.65
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W2,test,20240101-20250101,161,39.34,1.33,1.51,2,39.22,6.57
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W2,test,20240101-20250101,161,39.34,1.33,1.51,9.52,39.22,6.57
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W3,train,20220101-20250101,481,177.55,1.10,1.44,7,40.49,5.44
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W3,train,20220101-20250101,481,177.55,1.10,1.44,15.97,40.49,5.44
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W3,test,20250101-20260401,178,52.91,1.21,1.52,3,40.59,5.07
V4_G2_P001,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=True",W3,test,20250101-20260401,178,52.91,1.21,1.52,12.93,40.59,5.07
V4_G2_P002,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=False",W1,train,20200101-20230101,559,289.46,1.05,1.33,0,57.59,4.56
V4_G2_P002,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=False",W1,train,20200101-20230101,559,289.46,1.05,1.33,13.30,57.59,4.56
V4_G2_P002,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=False",W1,test,20230101-20240101,203,72.09,1.29,1.39,7,72.09,7.82
V4_G2_P002,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=False",W1,test,20230101-20240101,203,72.09,1.29,1.39,19.27,72.09,7.82
V4_G2_P002,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=False",W2,train,20210101-20240101,568,272.12,1.04,1.34,2,54.96,4.84
V4_G2_P002,group2_macd,"G2 MACD f8s21sig5 hist_pos stair=False",W2,train,20210101-20240101,568,272.12,1.04,1.34,19.32,54.96,4.84
