strategy,group,name,window,phase,timerange,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,cagr,sortino
V6_E5_P008,group_e5_leverage,"E5 lev low=5 high=3 th=0.7",W2,test,20240101-20250101,155,28.33,1.13,1.47,11.84,28.24,4.92
V6_E5_P008,group_e5_leverage,"E5 lev low=5 high=3 th=0.7",W3,train,20220101-20250101,452,75.59,0.77,1.31,15.00,20.62,3.35
V6_E5_P008,group_e5_leverage,"E5 lev low=5 high=3 th=0.7",W3,test,20250101-20260401,165,33.20,1.02,1.46,12.06,25.86,3.95
V6_E5_P009,group_e5_leverage,"E5 lev low=5 high=3 th=0.8",W1,train,20200101-20230101,519,130.34,0.80,1.27,10.63,32.20,3.75
V6_E5_P009,group_e5_leverage,"E5 lev low=5 high=3 th=0.8",W1,test,20230101-20240101,191,37.54,1.05,1.32,15.33,37.54,4.81
V6_E5_P009,group_e5_leverage,"E5 lev low=5 high=3 th=0.8",W2,train,20210101-20240101,536,125.59,0.84,1.28,15.38,31.15,3.89
V6_E5_P009,group_e5_leverage,"E5 lev low=5 high=3 th=0.8",W2,test,20240101-20250101,156,26.84,1.07,1.43,12.58,26.76,4.72
V6_E5_P009,group_e5_leverage,"E5 lev low=5 high=3 th=0.8",W3,train,20220101-20250101,454,68.23,0.71,1.28,15.31,18.91,3.11
V6_E5_P009,group_e5_leverage,"E5 lev low=5 high=3 th=0.8",W3,test,20250101-20260401,165,29.61,0.90,1.40,12.72,23.13,3.34
V6_E5_P010,group_e5_leverage,"E5 lev low=7 high=4 th=0.5",W1,train,20200101-20230101,534,158.88,0.80,1.25,13.29,37.47,3.89
V6_E5_P010,group_e5_leverage,"E5 lev low=7 high=4 th=0.5",W1,test,20230101-20240101,200,54.25,1.25,1.39,19.88,54.25,6.59
V6_E5_P010,group_e5_leverage,"E5 lev low=7 high=4 th=0.5",W2,train,20210101-20240101,554,114.66,0.79,1.25,19.92,29.00,4.09
V6_E5_P010,group_e5_leverage,"E5 lev low=7 high=4 th=0.5",W2,test,20240101-20250101,160,8.39,0.36,1.11,13.46,8.36,1.52
V6_E5_P010,group_e5_leverage,"E5 lev low=7 high=4 th=0.5",W3,train,20220101-20250101,470,62.82,0.57,1.21,19.94,17.63,2.64
V6_E5_P010,group_e5_leverage,"E5 lev low=7 high=4 th=0.5",W3,test,20250101-20260401,174,50.89,1.24,1.57,12.41,39.09,5.30
V6_E5_P011,group_e5_leverage,"E5 lev low=7 high=4 th=0.7",W1,train,20200101-20230101,542,166.47,0.76,1.24,16.88,38.80,3.88
V6_E5_P011,group_e5_leverage,"E5 lev low=7 high=4 th=0.7",W1,test,20230101-20240101,201,49.19,1.14,1.35,23.52,49.19,6.16
V6_E5_P011,group_e5_leverage,"E5 lev low=7 high=4 th=0.7",W2,train,20210101-20240101,560,108.53,0.72,1.22,23.55,27.76,3.99
V6_E5_P011,group_e5_leverage,"E5 lev low=7 high=4 th=0.7",W2,test,20240101-20250101,167,16.64,0.63,1.20,13.99,16.59,2.87
V6_E5_P011,group_e5_leverage,"E5 lev low=7 high=4 th=0.7",W3,train,20220101-20250101,478,64.50,0.58,1.21,23.51,18.03,2.83
V6_E5_P011,group_e5_leverage,"E5 lev low=7 high=4 th=0.7",W3,test,20250101-20260401,177,58.31,1.32,1.59,14.41,44.56,5.68
V6_E5_P012,group_e5_leverage,"E5 lev low=7 high=4 th=0.8",W1,train,20200101-20230101,545,135.87,0.67,1.21,16.90,33.25,3.60
V6_E5_P012,group_e5_leverage,"E5 lev low=7 high=4 th=0.8",W1,test,20230101-20240101,203,53.61,1.20,1.35,24.62,53.61,6.60
V6_E5_P012,group_e5_leverage,"E5 lev low=7 high=4 th=0.8",W2,train,20210101-20240101,563,96.25,0.68,1.21,24.59,25.20,3.79
V6_E5_P012,group_e5_leverage,"E5 lev low=7 high=4 th=0.8",W2,test,20240101-20250101,167,18.66,0.69,1.22,13.60,18.60,3.10
V6_E5_P012,group_e5_leverage,"E5 lev low=7 high=4 th=0.8",W3,train,20220101-20250101,480,66.20,0.59,1.21,24.55,18.43,2.90
V6_E5_P012,group_e5_leverage,"E5 lev low=7 high=4 th=0.8",W3,test,20250101-20260401,180,64.85,1.36,1.59,14.69,49.33,5.87
V6_E5_P013,group_e5_leverage,"E5 lev low=6 high=4 th=0.5",W1,train,20200101-20230101,534,169.78,0.83,1.26,13.24,39.38,3.98
V6_E5_P013,group_e5_leverage,"E5 lev low=6 high=4 th=0.5",W1,test,20230101-20240101,199,59.34,1.35,1.43,17.53,59.34,7.12
V6_E5_P013,group_e5_leverage,"E5 lev low=6 high=4 th=0.5",W2,train,20210101-20240101,553,133.11,0.87,1.28,17.54,32.59,4.47
V6_E5_P013,group_e5_leverage,"E5 lev low=6 high=4 th=0.5",W2,test,20240101-20250101,160,9.37,0.40,1.13,13.20,9.34,1.74
V6_E5_P013,group_e5_leverage,"E5 lev low=6 high=4 th=0.5",W3,train,20220101-20250101,469,70.40,0.63,1.23,17.58,19.42,2.90
V6_E5_P013,group_e5_leverage,"E5 lev low=6 high=4 th=0.5",W3,test,20250101-20260401,172,50.32,1.23,1.56,12.62,38.68,5.11
V6_E5_P014,group_e5_leverage,"E5 lev low=6 high=4 th=0.7",W1,train,20200101-20230101,541,160.38,0.74,1.23,16.89,37.74,3.72
V6_E5_P014,group_e5_leverage,"E5 lev low=6 high=4 th=0.7",W1,test,20230101-20240101,200,54.41,1.24,1.39,20.74,54.41,6.71
V6_E5_P014,group_e5_leverage,"E5 lev low=6 high=4 th=0.7",W2,train,20210101-20240101,559,114.11,0.76,1.23,20.72,28.89,4.22
V6_E5_P014,group_e5_leverage,"E5 lev low=6 high=4 th=0.7",W2,test,20240101-20250101,163,17.27,0.67,1.22,13.00,17.22,3.11
V6_E5_P014,group_e5_leverage,"E5 lev low=6 high=4 th=0.7",W3,train,20220101-20250101,473,69.71,0.63,1.23,20.59,19.26,3.07
V6_E5_P014,group_e5_leverage,"E5 lev low=6 high=4 th=0.7",W3,test,20250101-20260401,174,56.45,1.30,1.59,14.31,43.20,5.56
V6_E6_P002,group_e6_mtf_dc,"E6 4H-DC=10 brk=True atr=0.3",W1,train,20200101-20230101,443,132.97,0.72,1.27,19.14,32.70,3.75
V6_E6_P002,group_e6_mtf_dc,"E6 4H-DC=10 brk=True atr=0.3",W1,test,20230101-20240101,152,87.02,1.51,1.69,12.24,87.02,9.20
V6_E6_P002,group_e6_mtf_dc,"E6 4H-DC=10 brk=True atr=0.3",W2,train,20210101-20240101,434,183.86,0.96,1.43,19.15,41.59,5.02
V6_E6_P002,group_e6_mtf_dc,"E6 4H-DC=10 brk=True atr=0.3",W2,test,20240101-20250101,146,31.82,1.01,1.41,7.13,31.72,4.90
V6_E6_P002,group_e6_mtf_dc,"E6 4H-DC=10 brk=True atr=0.3",W3,train,20220101-20250101,378,132.46,0.87,1.43,19.13,32.44,4.20
